日期	时间	来源	科目	章节	原子ID	模式	事件	判定	讲法	备注
2026-09-10	09:10	自习	示例数学	第01讲	SY-01-001	CM-01	首测	✅	TH-01	四则运算三道全对
2026-09-11	09:05	自习	示例数学	第01讲	SY-01-001	CM-01	复习	✅	TH-01	隔日复测流畅
2026-09-12	09:20	自习	示例数学	第01讲	SY-01-002	CM-02	首测	❌	TH-02	加减里直接替换等价无穷小
2026-09-12	09:40	判卷	示例数学	第01讲	SY-01-002	CM-02	复习	⚠️	TH-03	直讲后换数勉强通过
2026-09-13	09:15	自习	示例数学	第01讲	SY-01-003	CM-01	首测	✅	TH-01	分段函数图画得清楚
2026-09-14	09:30	自习	示例数学	第02讲	SY-02-001	CM-03	首测	✅	TH-01	定义复述完整
2026-09-15	09:05	自习	示例数学	第02讲	SY-02-001	CM-03	复习	✅	TH-01	复测通过
2026-09-15	09:20	自习	示例计算机	第01章	LT-01-001	CM-04	首测	✅	TH-05	移动次数推导正确
2026-09-16	09:10	判卷	示例计算机	第01章	LT-01-002	CM-02	首测	❌	TH-02	把删除当插入算
2026-09-16	09:35	判卷	示例计算机	第01章	LT-01-002	CM-02	复习	⚠️	TH-03	直讲后勉强通过
2026-09-16	10:00	判卷	示例数学	第01讲	SY-01-002	CM-02	复习	✅	TH-03	这次替换顺序对了
2026-09-16	10:20	判卷	示例计算机	第01章	LT-01-001	CM-04	复习	✅	TH-05	复测流畅
